gid,timestamp,Date,Zone,Preferred Language (if translator needed)?,City,State,Zipcode,# of Occupants,Are you living here now?,Rent or Own?,Rent or Own? 2,"If not here, where are you staying?",Do you need a safe place to sleep?,Does anyone in your household need food?,Do you have electricity?,Do you have water?,Do you have heat?,Do you have plumbing?,Is the water clean?,Are there children living here?,Are there senior citizens living here?,Are there disabled people living here?,What is your country of origin?,Did you stay at home during Sandy?,Was your house damaged?,Do you have a mold problem?,Do you need help with repairs?,Does anyone in your household need medical attention?,Is anyone at home feeling stressed out?,Does anyone need to speak with a lawyer?,Does anyone need to speak with a lawyer? 2,Did you receive Disaster Food Stamps?,Do you need help with unemployment benefits?,Have you registered with FEMA?,Did you receive a check from FEMA?,Did you receive all the funds you believe you should have received from FEMA?,Did you apply for an SBA loan?,"If you didn’t apply for an SBA loan, was it because you were:",Name of insurers:,Did you file an insurance claim?,Do you have flood insurance?,Have you received your flood insurance payment?,Did the payment cover all repairs?,"If insurance payment was insufficient, or claim denied, did you file an appeal?","If insurance payment was insufficient, or claim denied, did you file an appeal? 2",Would you accept help from an attorney with filing an insurance appeal?,Are you having mortgage problems?,Do you need legal help with lender problems?,Did you receive FEMA rental assistance to help you with leasing a temporary or permanent apartment?,Did you rent out any part of your home pre-Sandy?,Would you be interested in attending a community meeting?,What is your greatest need?,Response,Stickers on house?,"If free non-perishable food was available ongoing in your community, would this be helpful?",Any specific details for medical attention?,Were you told not to register FEMA or not allowed to register with FEMA?,Would you accept help from an attorney for your FEMA appeal?,Was any portion of this house used as a rental unit pre-Sandy?,"If not, do you need FEMA rental assistance to help you with leasing a temporary or permanent apartment?",CONTACT INFO NOTES,BASIC INFO NOTES,FEMA/SBA NOTE,INSURANCE NOTES,HOUSING NOTES,OTHER NOTES,What subject(s) do these additional notes apply to?,Zone Number
SI1_1,2013-01-19T18:50:51Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,2,YES,,OWN,,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,,YES,YES,YES,,NO,YES,,NO,YES,NO,YES,YES,YES,YES,,Travelers,Yes,YES,NO,NO,,,NO,NO,NO,,,YES,Financial assistance,Completed,Yellow,NO,,NO,NO,NO,,,,,,,,,
SI1_2,2013-01-19T19:00:43Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,1,YES,,OWN,,NO,YES,YES,YES,YES,YES,YES,NO,YES,,,NO,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,,NO,Debt / Financial,,,YES,YES,NO,YES,,YES,NO,,YES,,YES,lost mementos and photos,Completed,,YES,Resident is on oxygen,NO,,NO,NO,,Has a lawyer/public advocate,Not sure if they should have received more from FEMA. Would potentially accept help from an attorney for FEMA appeal.,Has a public adjuster.,,Would require a ride a community meeting,"Medical, Legal",
SI1_3,2013-01-19T19:01:10Z,2012-01-19T00:00:00Z,B,,Staten Island,NY,,1,YES,,OWN,,NO,YES,YES,YES,YES,YES,YES,NO,YES,,,NO,YES,NO,NO,NO,YES,,NO,NO,NO,YES,YES,,NO,Debt / Financial,,,YES,YES,NO,YES,,YES,NO,,YES,,YES,lost mementos and photos,Completed,,YES,Resident is on oxygen,NO,,NO,NO,,Has a lawyer/public advocate,Not sure if they should have received more from FEMA. Would potentially accept help from an attorney for FEMA appeal.,Has a public adjuster.,,Would require a ride a community meeting,"Medical, Legal",
SI1_4,2013-01-19T21:04:39Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,7,,,OWN,,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,NO,NO,NO,YES,,NO,YES,NO,YES,YES,,NO,Denied,,No,NO,NO,NO,NO,,NO,YES,NO,NO,,YES,,Completed,,NO,,NO,NO,NO,NO,Donna Molrales (daughter) Mr Molski family,,Book loss for store was in storage pod.,,,,,
SI1_5,2013-01-19T21:06:14Z,2012-01-19T00:00:00Z,B,Russian,Staten Island,NY,,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,,YES,YES,NO,YES,NO,NO,,YES,YES,NO,YES,YES,YES,YES,,Cambridge,Yes,YES,NO,NO,NO,,YES,NO,NO,YES,,YES,,Completed,Yellow,,,,YES,NO,NO,,Rapid Repairs did not service the house in a timely manner so they did repairs themselves.,,Travellers has not responded to their claims for flood insurance benefits.,Need Travellers to respond regarding flood insurance claim.,Would attend a meeting if it were nighttime or weekends.,"Home Repair, Legal",19
SI1_6,2013-01-19T21:07:39Z,2012-01-19T00:00:00Z,A,,Staten Island,NY,10305,3,YES,,OWN,,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,NO,NO,NO,,NO,NO,NO,NO,NO,NO,NO,,,No,YES,NO,NO,NO,,NO,NO,NO,NO,,NO,PHONE NEEDS FIXING,Completed,,,,,,,,,,,,,,,7
SI1_7,2013-01-19T21:10:09Z,2012-01-19T00:00:00Z,D,,Staten Island,NY,10306,6,NO,,OWN,Rental,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,,YES,YES,,,NO,YES,,NO,NO,NO,YES,YES,,YES,,,Yes,NO,,NO,NO,,,,,,,YES,Financial assistance,Completed,,YES,,,,NO,,,Resident hopes they don't have mold. Hired someone to help with repairs.,Doesn't know if they recieved all they funds from FEMA they deserve. Waiting for approval for SBA loan.,Home paid off already.,,,,
SI1_8,2013-01-19T21:11:44Z,2012-01-19T00:00:00Z,B,"Spanish, Italian",Staten Island,NY,,2,YES,,OWN,,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,,YES,YES,NO,YES,YES,YES,,YES,NO,NO,YES,YES,NO,NO,Debt / Financial,,,YES,NO,NO,YES,,YES,NO,NO,NO,,YES,Repairs,Completed,Green,YES,,YES,YES,YES,YES,,,,,,,,19
SI1_9,2013-01-19T21:13:39Z,2012-01-19T00:00:00Z,C,,Staten Island,NY,,6,YES,,OWN,,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,,NO,YES,YES,NO,NO,YES,,NO,NO,YES,YES,NO,NO,YES,,,Yes,YES,NO,NO,NO,,NO,YES,YES,NO,,NO,Financial assistance,Completed,Yellow,YES,,NO,NO,NO,,,,,,,,,13
SI1_10,2013-01-19T21:18:09Z,,A,,Staten Island,NY,10305,,YES,,,,,,,,,,,,,,,,,YES,,,,,,NO,,YES,NO,YES,,,FIDELITY,Yes,NO,YES,NO,,,,WAITING FOR SETTLEMENT,,,,,,,,,,,,,,,,,,,,,6
